scanner,n,gpt_det,claude_det,gpt_rate,claude_rate,delta_pp,agreement,kappa,kappa_label,TT,TF,FT,FF
gpt-4o-mini,73,18,18,24.66,24.66,+0.00,100.00,1.000,almost perfect,18,0,0,55
gpt-5.4-mini,76,60,60,78.95,78.95,+0.00,100.00,1.000,almost perfect,60,0,0,16
gpt-5.4-self,76,66,62,86.84,81.58,-5.26,94.74,0.803,almost perfect,62,4,0,10
qwen-base,76,13,6,17.11,7.89,-9.21,90.79,0.587,moderate,6,7,0,63
qwen-d3-noprefill,76,60,57,78.95,75.00,-3.95,82.89,0.519,moderate,52,8,5,11
qwen-d3-prefill,76,67,65,88.16,85.53,-2.63,86.84,0.425,moderate,61,6,4,5
llama-base,65,6,2,9.23,3.08,-6.15,93.85,0.476,moderate,2,4,0,59
llama-d3-noprefill,76,63,67,82.89,88.16,+5.26,94.74,0.789,substantial,63,0,4,9
llama-d3-prefill,76,57,58,75.00,76.32,+1.32,93.42,0.821,almost perfect,55,2,3,16
mistral-base,76,4,4,5.26,5.26,+0.00,97.37,0.736,substantial,3,1,1,71
mistral-d3-noprefill,76,55,52,72.37,68.42,-3.95,96.05,0.905,almost perfect,52,3,0,21
mistral-d3-prefill,76,42,42,55.26,55.26,+0.00,94.74,0.894,almost perfect,40,2,2,32
gemma-base,76,8,5,10.53,6.58,-3.95,96.05,0.749,substantial,5,3,0,68
gemma-d3-noprefill,76,45,52,59.21,68.42,+9.21,80.26,0.577,moderate,41,4,11,20
gemma-d3-prefill,76,43,53,56.58,69.74,+13.16,81.58,0.611,substantial,41,2,12,21
