dir,name,homepage,marketplace,license_field
algorithmic-art,algorithmic-art,https://github.com/anthropics/skills/tree/main/skills/algorithmic-art,anthropics/skills,Complete terms in LICENSE.txt
brand-guidelines,brand-guidelines,https://github.com/anthropics/skills/tree/main/skills/brand-guidelines,anthropics/skills,Complete terms in LICENSE.txt
canvas-design,canvas-design,https://github.com/anthropics/skills/tree/main/skills/canvas-design,anthropics/skills,Complete terms in LICENSE.txt
claude-api,claude-api,https://github.com/anthropics/skills/tree/main/skills/claude-api,anthropics/skills,Complete terms in LICENSE.txt
doc-coauthoring,doc-coauthoring,https://github.com/anthropics/skills/tree/main/skills/doc-coauthoring,anthropics/skills,
docx,docx,https://github.com/anthropics/skills/tree/main/skills/docx,anthropics/skills,Proprietary. LICENSE.txt has complete terms
frontend-design,frontend-design,https://github.com/anthropics/skills/tree/main/skills/frontend-design,anthropics/skills,Complete terms in LICENSE.txt
internal-comms,internal-comms,https://github.com/anthropics/skills/tree/main/skills/internal-comms,anthropics/skills,Complete terms in LICENSE.txt
mcp-builder,mcp-builder,https://github.com/anthropics/skills/tree/main/skills/mcp-builder,anthropics/skills,Complete terms in LICENSE.txt
pdf,pdf,https://github.com/anthropics/skills/tree/main/skills/pdf,anthropics/skills,Proprietary. LICENSE.txt has complete terms
pptx,pptx,https://github.com/anthropics/skills/tree/main/skills/pptx,anthropics/skills,Proprietary. LICENSE.txt has complete terms
skill-creator,skill-creator,https://github.com/anthropics/skills/tree/main/skills/skill-creator,anthropics/skills,
slack-gif-creator,slack-gif-creator,https://github.com/anthropics/skills/tree/main/skills/slack-gif-creator,anthropics/skills,Complete terms in LICENSE.txt
theme-factory,theme-factory,https://github.com/anthropics/skills/tree/main/skills/theme-factory,anthropics/skills,Complete terms in LICENSE.txt
web-artifacts-builder,web-artifacts-builder,https://github.com/anthropics/skills/tree/main/skills/web-artifacts-builder,anthropics/skills,Complete terms in LICENSE.txt
webapp-testing,webapp-testing,https://github.com/anthropics/skills/tree/main/skills/webapp-testing,anthropics/skills,Complete terms in LICENSE.txt
xlsx,xlsx,https://github.com/anthropics/skills/tree/main/skills/xlsx,anthropics/skills,Proprietary. LICENSE.txt has complete terms
