oracle,mode,iter,normal,explicit_refusal,silent_failure,partial_refusal,total
gpt-4o-mini,select,0,47,0,0,4,51
gpt-4o-mini,select,1,38,0,0,12,50
gpt-4o-mini,select,2,36,0,2,12,50
gpt-4o-mini,select,3,39,0,2,9,50
gpt-4o-mini,select,4,37,0,2,10,49
gpt-5.4-mini,select,0,63,0,0,0,63
gpt-5.4-mini,select,1,48,4,10,1,63
gpt-5.4-mini,select,2,41,3,17,2,63
gpt-5.4-mini,select,3,41,3,19,0,63
gpt-5.4-mini,select,4,36,4,23,0,63
gpt-5.4,select,0,76,0,0,0,76
gpt-5.4,select,1,72,0,0,4,76
gpt-5.4,select,2,72,0,0,4,76
gpt-5.4,select,3,68,0,0,8,76
gpt-5.4,select,4,69,0,0,7,76
gpt-5.4,no-select,0,215,0,0,6,221
gpt-5.4,no-select,1,190,0,2,29,221
gpt-5.4,no-select,2,186,0,4,18,208
