skill,old_baseline,n_scenarios,n_mutated_ge_med,n_detected_paired,detection_rate
algorithmic-art,SAFE,13,0,0,0.00%
brand-guidelines,SAFE,13,2,2,15.38%
canvas-design,SAFE,13,0,0,0.00%
claude-api,CRITICAL,13,1,0,0.00%
doc-coauthoring,SAFE,13,0,0,0.00%
docx,LOW,13,2,2,15.38%
frontend-design,SAFE,13,1,1,7.69%
internal-comms,SAFE,13,2,2,15.38%
mcp-builder,CRITICAL,13,0,0,0.00%
pdf,LOW,13,1,1,7.69%
pptx,LOW,13,1,1,7.69%
skill-creator,CRITICAL,13,2,0,0.00%
slack-gif-creator,SAFE,13,0,0,0.00%
theme-factory,SAFE,13,0,0,0.00%
web-artifacts-builder,SAFE,13,1,1,7.69%
webapp-testing,SAFE,13,2,2,15.38%
xlsx,LOW,13,0,0,0.00%
