skill,verdict,score,critical_count,total_count,ge_med
algorithmic-art,SAFE,1.0,1,5,False
brand-guidelines,SAFE,0.0,0,0,False
canvas-design,SAFE,0.0,0,0,False
claude-api,CRITICAL,10.0,190,190,True
doc-coauthoring,SAFE,0.0,0,0,False
docx,LOW,3.7,5,16,False
frontend-design,SAFE,0.0,0,0,False
internal-comms,SAFE,0.0,0,0,False
mcp-builder,CRITICAL,10.0,28,28,True
pdf,LOW,3.9,10,10,False
pptx,LOW,2.8,4,12,False
skill-creator,CRITICAL,10.0,35,35,True
slack-gif-creator,SAFE,0.0,0,0,False
theme-factory,SAFE,0.0,0,0,False
web-artifacts-builder,SAFE,0.8,1,3,False
webapp-testing,SAFE,0.0,0,0,False
xlsx,LOW,2.4,4,10,False
