scanner,kind,harness,oracle,paper_n,n,med_latency_sec,mean_latency_sec,med_prompt_tokens,med_completion_tokens,med_cost_usd,mean_cost_usd,recall_pct,cost_per_detected_usd,sec_per_detected
GPT-4o-mini,api,A,gpt-4o-mini,48,49,15.98,18.469183673469388,12967,1054,0.00257745,0.002860607142857143,35.42,0.0072768210050818734,45.11575381140599
GPT-4o-mini,api,A,gpt-5.4-mini,63,63,21.08,27.116666666666667,15165,908,0.00281955,0.0035695119047619048,9.52,0.0296171218487395,221.42857142857142
GPT-4o-mini,api,A,gpt-5.4,76,76,26.98,27.59657894736842,8250,912,0.0017846999999999997,0.0029837565789473685,23.68,0.0075367398648648635,113.9358108108108
GPT-5.4-mini,api,A,gpt-4o-mini,48,50,14.77,14.706,11207,2003,0.006808875,0.00843286,79.17,0.0086003220917014,18.65605658709107
GPT-5.4-mini,api,A,gpt-5.4-mini,63,63,15.17,16.3784126984127,14983,1018,0.00578175,0.0058161746031746035,71.43,0.008094288114237715,21.237575248495027
GPT-5.4-mini,api,A,gpt-5.4,76,76,14.535,14.636973684210526,8419,1892,0.00588975,0.00803952960526316,78.95,0.007460101329955668,18.410386320455984
GPT-5.4,api,A,gpt-4o-mini,48,50,69.635,76.1152,11207,3255,0.046559375,0.0555041,89.58,0.051975189774503244,77.73498548783212
GPT-5.4,api,A,gpt-5.4-mini,63,63,47.39,45.87777777777778,14439,3178,0.04982875,0.05563309523809524,88.89,0.05605664304196197,53.31308358645517
GPT-5.4,api,A,gpt-5.4,76,76,18.125,18.92736842105263,12055,1117,0.02623875,0.02813296052631579,86.84,0.03021505066789498,20.871718102257024
Qwen-7B baseline,local,B,gpt-4o-mini,48,0,,,,,,,,,
Qwen-7B baseline,local,B,gpt-5.4-mini,63,0,,,,,,,,,
Qwen-7B baseline,local,B,gpt-5.4,76,0,,,,,,,17.11,,
Qwen-7B + ours,local,B,gpt-4o-mini,48,0,,,,,,,,,
Qwen-7B + ours,local,B,gpt-5.4-mini,63,0,,,,,,,,,
Qwen-7B + ours,local,B,gpt-5.4,76,76,13.54,17.167894736842104,12063,859,0.0067323888888888885,0.008536258771929825,88.16,0.007636557269610809,15.358439201451906
