oracle,iter,scanner,n,detected,rate_pct
gpt-4o-mini,0,llm,46,19,41.30
gpt-4o-mini,0,snyk,46,7,15.22
gpt-4o-mini,0,ss,46,0,0.00
gpt-4o-mini,1,llm,48,13,27.08
gpt-4o-mini,1,snyk,48,7,14.58
gpt-4o-mini,1,ss,48,0,0.00
gpt-4o-mini,2,llm,48,16,33.33
gpt-4o-mini,2,snyk,48,9,18.75
gpt-4o-mini,2,ss,48,1,2.08
gpt-4o-mini,3,llm,48,13,27.08
gpt-4o-mini,3,snyk,48,8,16.67
gpt-4o-mini,3,ss,48,1,2.08
gpt-4o-mini,4,llm,48,17,35.42
gpt-4o-mini,4,snyk,48,8,16.67
gpt-4o-mini,4,ss,48,1,2.08
gpt-5.4,0,llm,76,70,92.11
gpt-5.4,0,snyk,76,16,21.05
gpt-5.4,0,ss,76,3,3.95
gpt-5.4,1,llm,76,65,85.53
gpt-5.4,1,snyk,76,10,13.16
gpt-5.4,1,ss,76,5,6.58
gpt-5.4,2,llm,76,66,86.84
gpt-5.4,2,snyk,76,8,10.53
gpt-5.4,2,ss,76,7,9.21
gpt-5.4,3,llm,76,64,84.21
gpt-5.4,3,snyk,76,11,14.47
gpt-5.4,3,ss,76,4,5.26
gpt-5.4,4,llm,76,66,86.84
gpt-5.4,4,snyk,76,7,9.21
gpt-5.4,4,ss,76,6,7.89
gpt-5.4-mini,0,llm,63,53,84.13
gpt-5.4-mini,0,snyk,63,7,11.11
gpt-5.4-mini,0,ss,63,4,6.35
gpt-5.4-mini,1,llm,63,46,73.02
gpt-5.4-mini,1,snyk,63,8,12.70
gpt-5.4-mini,1,ss,63,4,6.35
gpt-5.4-mini,2,llm,63,43,68.25
gpt-5.4-mini,2,snyk,63,5,7.94
gpt-5.4-mini,2,ss,63,2,3.17
gpt-5.4-mini,3,llm,63,47,74.60
gpt-5.4-mini,3,snyk,63,6,9.52
gpt-5.4-mini,3,ss,63,2,3.17
gpt-5.4-mini,4,llm,63,45,71.43
gpt-5.4-mini,4,snyk,63,6,9.52
gpt-5.4-mini,4,ss,63,4,6.35
